variedad;codigo;planta_bulk;fecha_ciclado;Ciclado;fecha_vidrio;SSR;1;2;3;4;5;5_1;6;7;8;1b9;1_1;1_2;2_1;9;10;11;12;13;14
NA 07-493;101;P1;26/10/2023;;30/10/2023;NKS38;1;1;0;1;1;0;0;0;0;;;;;;;;;;
NA 07-493;101;P1;26/10/2023;;31/10/2023;NKS38;1;1;0;1;1;0;0;0;0;;;;;;;;;;
NA 12-1621;102;P1;26/10/2023;;30/10/2023;NKS38;0;1;1;1;1;0;0;0;1;;;;;;;;;;
NA 12-1621;102;P1;26/10/2023;;31/10/2023;NKS38;0;1;1;1;1;0;0;0;1;;;;;;;;;;
NA 05-2019;103;P1;26/10/2023;;30/10/2023;NKS38;0;1;1;1;1;0;0;0;0;;;;;;;;;;
NA 84-3920;104;P1;26/10/2023;;30/10/2023;NKS38;0;1;1;0;1;0;0;0;0;;;;;;;;;;
NA 87-146;105;P1;26/10/2023;;30/10/2023;NKS38;0;1;1;0;0;0;0;0;1;;;;;;;;;;
NA 87-146;105;P1;26/10/2023;;31/10/2023;NKS38;0;1;1;1;0;0;0;0;1;;;;;;;;;;
NA 73-2596;107;P1;26/10/2023;;30/10/2023;NKS38;0;1;1;1;1;0;0;0;1;;;;;;;;;;
NA 76-128;108;P1;26/10/2023;;30/10/2023;NKS38;0;1;1;1;0;0;0;0;1;;;;;;;;;;
NA 76-128;108;P1;26/10/2023;;31/10/2023;NKS38;0;1;1;1;0;0;0;0;1;;;;;;;;;;
NA 03-559;100;P2;27/10/2023;;30/10/2023;NKS26;1;0;1;1;0;;1;0;;;;;;;;;;;
NA 03-559;100;P2;27/10/2023;;31/10/2023;NKS26;1;0;1;1;0;;1;0;;;;;;;;;;;
NA 07-493;101;P2;27/10/2023;;30/10/2023;NKS26;1;0;1;1;0;;1;1;;;;;;;;;;;
NA 07-493;101;P1;27/10/2023;;31/10/2023;NKS26;1;0;1;1;0;;1;1;;;;;;;;;;;
NA 12-1621;102;P2;27/10/2023;;30/10/2023;NKS26;0;0;1;0;1;;1;0;;;;;;;;;;;
NA 12-1621;102;P1;27/10/2023;;31/10/2023;NKS26;0;0;1;0;0;;1;1;;;;;;;;;;;
NA 05-2019;103;P2;27/10/2023;;30/10/2023;NKS26;0;0;1;0;1;;1;0;;;;;;;;;;;
NA 05-2019;103;P1;27/10/2023;;31/10/2023;NKS26;0;0;1;0;0;;1;0;;;;;;;;;;;
NA 84-3920;104;P2;27/10/2023;;30/10/2023;NKS26;0;0;1;0;1;;1;1;;;;;;;;;;;
NA 84-3920;104;P1;27/10/2023;;31/10/2023;NKS26;0;0;1;0;0;;1;1;;;;;;;;;;;
NA 87-146;105;P2;27/10/2023;;30/10/2023;NKS26;0;0;1;0;1;;1;0;;;;;;;;;;;
NA 87-146;105;P1;27/10/2023;;31/10/2023;NKS26;0;0;1;0;0;;1;0;;;;;;;;;;;
