variedad,codigo,planta_bulk,fecha ciclado,fecha vidrio,SSR,1,2,3,4,5,6,7,8,1B/9,,
NA 03-559,100,P2,22/1/24,23/1/24,NKS22,1,1,0,1,1,0,1,0,0,,
NA 03-559,100,P2,30/1/24,31/1/24,NKS22,1,1,0,1,1,0,1,0,0,,
NA 07-493,101,P2,22/1/24,23/1/24,NKS22,1,1,0,1,0,1,1,0,0,,
NA 07-493,101,P2,30/1/24,31/1/24,NKS22,1,1,0,1,0,1,1,0,0,,
NA 12-1621,102,P2,22/1/24,23/1/24,NKS22,1,1,0,0,1,0,0,0,0,,
NA 12-1621,102,P2,30/1/24,31/1/24,NKS22,1,1,0,0,1,0,0,0,0,,
NA 05-2019,103,P2,22/1/24,23/1/24,NKS22,1,1,1,1,0,0,0,0,0,,
NA 05-2019,103,P2,30/1/24,31/1/24,NKS22,1,1,1,1,0,0,0,0,0,,
NA 05-2019,103,B1,11/2/2025,12/2/2025,NKS22,1,1,1,1,0,0,0,0,0,,
NA 84-3920,104,P2,22/1/24,23/1/24,NKS22,1,1,0,1,0,0,0,0,0,,
NA 84-3920,104,P2,30/1/24,31/1/24,NKS22,1,1,0,1,0,0,0,0,0,,
NA 84-3920,104,B1,11/2/2025,12/2/2025,NKS22,1,1,0,1,0,0,0,0,0,,
NA 87-146,105,P2,22/1/24,23/1/24,NKS22,1,1,0,0,0,0,0,0,0,,
NA 87-146,105,P2,30/1/24,31/1/24,NKS22,1,1,0,0,0,0,0,0,0,,
NA 85-1602,106,P2,22/1/24,23/1/24,NKS22,1,1,0,1,0,1,0,0,0,,
NA 85-1602,106,P2,30/1/24,31/1/24,NKS22,1,1,0,1,0,1,0,0,0,,
NA 85-1602,106,B1,11/2/2025,12/2/2025,NKS22,1,1,0,1,0,1,0,0,0,,
NA 73-2596,107,P2,22/1/24,23/1/24,NKS22,1,1,0,0,0,1,0,0,0,,
NA 72-2596,107,P2,30/1/24,31/1/24,NKS22,1,1,0,0,0,1,0,0,0,,
NA 72-2596,107,B1,11/2/2025,12/2/2025,NKS22,1,1,0,0,0,1,0,0,0,,
NA 76-128,108,P2,22/1/24,23/1/24,NKS22,1,1,0,1,0,1,0,0,0,,
NA 76-128,108,P2,30/1/24,31/1/24,NKS22,1,1,0,1,0,1,1,0,0,,7
NA 78-639,109,P2,22/1/24,23/1/24,NKS22,1,1,0,1,0,1,0,0,0,,
NA 78-639,109,P2,30/1/24,31/1/24,NKS22,1,1,0,1,0,1,1,0,0,,
NA 97-3152,110,P2,22/1/24,23/1/24,NKS22,1,1,0,1,0,1,0,0,0,,
NA 97-3152,110,P2,30/1/24,31/1/24,NKS22,1,1,0,1,0,1,1,0,0,,
NA 12-166,111,P2,22/1/24,23/1/24,NKS22,1,1,0,1,0,0,0,0,0,,
NA 12-166,111,P2,30/1/24,31/1/24,NKS22,1,1,0,1,0,0,0,0,0,,
NA 12-166,111,B2,11/2/2025,12/2/2025,NKS22,1,1,0,1,0,0,0,0,0,,
NA 97-567,112,P2,22/1/24,23/1/24,NKS22,1,1,0,1,0,0,1,0,0,,
NA 97-567,112,P2,30/1/24,31/1/24,NKS22,1,1,0,1,0,0,1,0,0,,
NA 96-2929,113,P2,30/1/24,31/1/24,NKS22,1,1,0,1,0,1,1,0,0,,
NA 89-1090,114,P2,30/1/24,31/1/24,NKS22,1,1,0,1,0,1,0,1,0,,
NA 90-1001,115,P2,30/1/24,31/1/24,NKS22,1,1,0,1,0,0,0,0,0,,
NA 98-597,116,P2,30/1/24,31/1/24,NKS22,1,1,0,1,0,0,0,0,1,,
NA 02-2320,117,P2,30/1/24,31/1/24,NKS22,1,1,0,1,0,0,0,0,0,,
NA 03-3300,118,P2,30/1/24,31/1/24,NKS22,0,1,1,0,0,0,0,0,0,,
NA 03-3300,118,B2,4/2/2025,6/2/2025,NKS22,1,1,1,0,0,0,0,0,0,,
NA 03-3300,118,B3,4/2/2025,6/2/2025,NKS22,1,1,1,0,0,0,0,0,0,,
NA 03-3300,118,B1,11/2/2025,12/2/2025,NKS22,1,1,1,0,0,0,0,0,0,,
NA 04-1613,119,P2,30/1/24,31/1/24,NKS22,1,1,0,1,0,1,0,0,0,,
NA 04-1613,119,B3,4/2/2025,6/2/2025,NKS22,1,1,0,1,0,1,1,0,0,,
NA 04-1613,119,B1,11/2/2025,12/2/2025,NKS22,1,1,0,1,0,1,0,0,0,,
NA 04-1613,119,B2,11/2/2025,12/2/2025,NKS22,1,1,0,1,0,1,0,0,0,,
NA 05-860,120,P2,30/1/24,31/1/24,NKS22,1,1,0,1,0,0,0,0,0,,
NA 05-860,120,B1,11/2/2025,12/2/2025,NKS22,1,1,0,1,0,0,0,0,0,,
NA 05-860,120,B2,11/2/2025,12/2/2025,NKS22,1,1,0,1,0,0,0,0,0,,
NA 84-3013,121,B1,4/2/2025,6/2/2025,NKS22,1,1,0,1,0,0,0,0,0,,
Co 419,122,B1,4/2/2025,6/2/2025,NKS22,1,1,0,1,0,1,0,0,0,,
LSP 85-384,125,B1,11/2/2025,12/2/2025,NKS22,1,1,0,1,0,0,0,0,0,,
LSP 85-384,125,P6,11/2/2025,12/2/2025,NKS22,1,1,0,1,0,0,0,0,0,,
LSP 85-384,125,P7,11/2/2025,12/2/2025,NKS22,1,1,0,1,0,0,0,0,0,,
TUC 77-42,130,B1,4/2/2025,6/2/2025,NKS22,1,1,0,1,0,1,0,0,0,,
TUC 77-42,130,B2,4/2/2025,6/2/2025,NKS22,1,1,0,1,0,1,0,0,0,,
TUC 77-42,130,B3,11/2/2025,12/2/2025,NKS22,1,1,0,1,0,1,0,0,0,,
TUC 77-42,130,B2,11/2/2025,12/2/2025,NKS22,1,1,0,1,0,1,0,0,0,,
CP 70-1133,131,B1,4/2/2025,6/2/2025,NKS22,0,1,0,0,0,0,0,0,0,,
CP 70-1133,131,B2,4/2/2025,6/2/2025,NKS22,1,1,0,1,0,0,0,0,0,,
CP 70-1133,131,B1,4/2/2025,6/2/2025,NKS22,0,1,0,0,0,0,0,0,0,,
NA 88-1723,133,B2,4/2/2025,6/2/2025,NKS22,1,1,0,0,0,0,0,0,0,,
NA 88-1723,133,B1,4/2/2025,6/2/2025,NKS22,1,1,0,1,0,0,0,0,0,,
NA 04-1754,134,B1,4/2/2025,6/2/2025,NKS22,1,1,0,1,0,0,0,0,0,,
NA 90-1015,135,B1,4/2/2025,6/2/2025,NKS22,1,1,0,1,0,1,0,0,0,,
FAM 87-101,137,B1,4/2/2025,6/2/2025,NKS22,1,1,0,0,0,0,0,0,0,,
