variedad;codigo;planta_bulk;fecha ciclado;Ciclado;fecha vidrio;SSR;1;2;3;4;5;20;6;7;8;24;21;22;23;9;10;11;12;13;14
NA 85-1602;106;B1;24/04/25;DUDA DE SIEMBRA;08/05/25;mSSCIR1;0;1;1;0;1;;0;1;0;;0;0;0;0;0;0;0;0;0
NA 03-559;100;B1;05/05/25;;06/05/25;mSSCIR1;0;0;1;0;0;;0;1;1;;0;0;0;0;0;0;1;0;0
NA 03-559;100;B2;05/05/25;;06/05/25;mSSCIR1;0;0;1;1;0;;1;1;1;;0;0;0;0;0;0;1;0;0
NA 07-493;101;B1;05/05/25;;06/05/25;mSSCIR1;0;0;0;0;0;;1;1;1;;0;0;0;0;0;0;1;0;0
NA 07-493;101;P7;05/05/25;;06/05/25;mSSCIR1;0;0;1;0;0;;1;1;1;;0;0;0;0;0;0;1;0;0
NA 07-493;101;B2;05/05/25;;06/05/25;mSSCIR1;0;0;1;1;0;;0;1;1;;0;0;0;0;0;0;1;0;0
NA 12-1621;102;B1;05/05/25;;08/05/25;mSSCIR1;0;0;1;0;0;;0;1;1;;0;0;0;0;0;1;0;0;0
NA 85-1602;106;B2;05/05/25;;06/05/25;mSSCIR1;0;1;1;1;0;;0;1;0;;0;0;0;0;0;1;0;1;0
NA 85-1602;106;P4;05/05/25;;06/05/25;mSSCIR1;0;1;1;0;1;;0;1;0;;0;0;0;0;0;0;0;0;0
NA 73-2596;107;P4;05/05/25;;06/05/25;mSSCIR1;0;0;1;0;0;;0;1;1;;0;0;0;0;0;1;0;0;0
NA 76-128;108;P2;05/05/25;;06/05/25;mSSCIR1;0;0;0;1;0;;0;1;1;;0;0;0;0;0;1;0;0;0
NA 76-128;108;B1;05/05/25;;06/05/25;mSSCIR1;0;0;0;0;0;;0;1;1;;0;0;0;0;0;1;1;0;0
NA 76-128;108;B2;05/05/25;;08/05/25;mSSCIR1;0;0;1;1;0;;0;1;1;;0;0;0;0;0;0;0;0;0
NA 97-3152;110;B3;05/05/25;;06/05/25;mSSCIR1;0;0;0;0;0;;0;1;1;;0;0;0;0;0;0;1;0;0
NA 97-567;112;P5;05/05/25;;06/05/25;mSSCIR1;0;0;1;0;0;;0;1;0;;0;0;0;0;0;0;0;0;0
NA 97-567;112;B2;05/05/25;;06/05/25;mSSCIR1;0;0;1;0;0;;0;1;0;;0;0;0;0;0;0;1;0;0
NA 89-1090;114;B2;05/05/25;;06/05/25;mSSCIR1;0;0;1;0;0;;1;1;1;;0;0;0;0;0;1;1;0;0
NA 89-1090;114;B1;05/05/25;;08/05/25;mSSCIR1;0;1;1;1;0;;1;1;1;;0;0;0;0;0;0;0;0;0
NA 90-1001;115;B1;05/05/25;;06/05/25;mSSCIR1;0;0;1;1;0;;0;1;1;;0;0;0;0;0;0;0;1;0
NA 90-1001;115;B2;05/05/25;;06/05/25;mSSCIR1;0;0;1;1;0;;0;1;1;;0;0;0;0;0;0;0;0;0
NA 90-1001;115;P4;05/05/25;;08/05/25;mSSCIR1;0;0;1;1;0;;0;1;1;;0;0;0;0;0;0;0;0;0
NA 98-597;116;P4;05/05/25;;06/05/25;mSSCIR1;0;0;0;0;0;;0;1;1;;0;0;0;0;0;0;0;1;1
NA 98-597;116;B1;05/05/25;;08/05/25;mSSCIR1;0;0;1;0;0;;0;1;1;;0;0;0;0;0;0;0;0;0
NA 02-2320;117;B1;05/05/25;;06/05/25;mSSCIR1;0;0;1;0;0;;0;1;1;;0;0;0;0;0;1;1;0;1
NA 02-2320;117;B2;05/05/25;;06/05/25;mSSCIR1;0;0;1;0;0;;0;1;0;;0;0;0;0;0;1;0;0;1
NA 02-2320;117;P5;05/05/25;;08/05/25;mSSCIR1;0;0;1;0;0;;0;1;0;;0;0;0;0;0;0;0;0;0
NA 04-1613;119;B1;05/05/25;;06/05/25;mSSCIR1;0;0;0;1;0;;1;0;1;;0;0;0;0;0;0;1;0;0
NA 04-1613;119;B2;05/05/25;1,00;06/05/25;mSSCIR1;0;0;0;1;0;;1;0;1;;0;0;0;0;0;0;1;0;0
NA 04-1613;119;B2;05/05/25;2,00;06/05/25;mSSCIR1;0;0;0;1;0;;1;0;1;;0;0;0;0;0;0;0;0;0
NA 04-1613;119;B3;05/05/25;;08/05/25;mSSCIR1;0;0;0;1;0;;1;0;1;;0;0;1;1;0;0;0;0;0
NA 04-1613;119;B2;05/05/25;;08/05/25;mSSCIR1;0;0;0;1;0;;1;0;1;;0;0;1;1;0;0;0;0;0
NA 05-860;120;B3;05/05/25;;06/05/25;mSSCIR1;0;1;1;1;0;;0;1;1;;0;0;0;0;0;1;0;0;0
NA 05-860;120;B2;05/05/25;;06/05/25;mSSCIR1;0;1;1;0;1;;1;1;1;;0;0;0;0;0;1;1;0;0
NA 84-3013;121;B2;05/05/25;;06/05/25;mSSCIR1;0;0;0;1;0;;1;1;1;;0;0;0;0;1;1;0;0;0
LCP 85-384;125;B2;05/05/25;;06/05/25;mSSCIR1;0;0;1;0;0;;0;1;1;;0;0;0;0;0;1;1;1;0
LCP 85-384;125;P3;05/05/25;;06/05/25;mSSCIR1;0;0;1;1;0;;0;1;1;;0;0;0;0;0;1;1;0;0
LCP 85-384;125;P5;05/05/25;;08/05/25;mSSCIR1;0;0;1;1;0;;0;1;1;;0;0;0;0;0;1;0;0;0
TUC 77-42;130;B1;05/05/25;;06/05/25;mSSCIR1;1;0;1;0;0;;0;1;1;;1;1;0;0;0;1;1;0;0
TUC 77-42;130;B3;05/05/25;;06/05/25;mSSCIR1;1;0;1;0;0;;0;1;1;;1;1;0;0;0;1;1;0;0
TUC 77-42;130;B2;05/05/25;;06/05/25;mSSCIR1;1;0;1;0;0;;0;1;1;;1;1;0;0;0;1;1;0;0
NA 03-559;100;P3;08/05/25;;08/05/25;mSSCIR1;0;0;1;1;0;;0;1;1;;0;0;0;0;0;0;0;0;0
